
-----------------------------------------------------------------------------
Status                        Inlet               Outlet
-----------------------------------------------------------------------------
Time[s]                       0                   1e-06
T[K]                          300.000             300.000
P[atm]                        1.00000             1.00000
rho[kg/m3]                    1.12253             1.12253
MW[kg/kmol]                   27.63362            27.63362
Phi[-]                        1.00001             1.00001
H[J/kg]                       -2.544939e+05       -2.544939e+05
U[J/kg]                       -3.447586e+05       -3.447586e+05
Conv.(%) O2                   0.000000e+00        0.000000e+00
Conv.(%) CH4                  0.000000e+00        0.000000e+00
Conv.(%) N2                   0.000000e+00        0.000000e+00
Total species (kmol/s)        3.618780e-02        3.618780e-02
Element(kmol/s) C             3.438674e-03        3.438674e-03
Element(kmol/s) H             1.375470e-02        1.375470e-02
Element(kmol/s) O             1.375462e-02        1.375462e-02
Element(kmol/s) N             5.174364e-02        5.174364e-02
-----------------------------------------------------------------------------

-----------------------------------------------------------------------------
Mass fractions                Inlet               Outlet
-----------------------------------------------------------------------------
H2                            0.000000e+00        5.252539e-56
H                             0.000000e+00        7.542387e-50
O                             0.000000e+00        1.334233e-57
O2                            2.200602e-01        2.200602e-01
OH                            0.000000e+00        9.917011e-54
H2O                           0.000000e+00        1.986780e-55
HO2                           0.000000e+00        6.947319e-40
H2O2                          0.000000e+00        1.347073e-48
C                             0.000000e+00        7.552597e-76
CH                            0.000000e+00        3.923258e-94
CH2                           0.000000e+00        2.372960e-61
CH2(S)                        0.000000e+00        1.219061e-62
CH3                           0.000000e+00        3.164665e-40
CH4                           5.516664e-02        5.516664e-02
CO                            0.000000e+00        8.994140e-60
CO2                           0.000000e+00        2.691988e-60
HCO                           0.000000e+00        1.772689e-81
CH2O                          0.000000e+00        1.783442e-53
CH2OH                         0.000000e+00        6.898490e-87
CH3O                          0.000000e+00        1.106762e-59
CH3OH                         0.000000e+00        2.332178e-67
C2H                           0.000000e+00        8.446500e-121
C2H2                          0.000000e+00        1.815479e-74
C2H3                          0.000000e+00        1.094389e-100
C2H4                          0.000000e+00        1.848836e-58
C2H5                          0.000000e+00        1.965628e-56
C2H6                          0.000000e+00        2.386409e-48
HCCO                          0.000000e+00        3.504961e-117
CH2CO                         0.000000e+00        1.735466e-116
HCCOH                         0.000000e+00        1.671508e-125
N                             0.000000e+00        1.342975e-105
NH                            0.000000e+00        1.387285e-97
NH2                           0.000000e+00        6.192001e-140
NH3                           0.000000e+00        4.505935e-165
NNH                           0.000000e+00        2.372572e-58
NO                            0.000000e+00        2.521536e-97
NO2                           0.000000e+00        1.989141e-127
N2O                           0.000000e+00        6.435976e-66
HNO                           0.000000e+00        1.923779e-102
CN                            0.000000e+00        8.090330e-109
HCN                           0.000000e+00        2.439888e-107
H2CN                          0.000000e+00        1.367159e-115
HCNN                          0.000000e+00        5.441643e-94
HCNO                          0.000000e+00        0.000000e+00
HOCN                          0.000000e+00        1.289004e-158
HNCO                          0.000000e+00        5.027865e-138
NCO                           0.000000e+00        1.295596e-106
N2                            7.247732e-01        7.247732e-01
AR                            0.000000e+00        0.000000e+00
C3H7                          0.000000e+00        1.681586e-66
C3H8                          0.000000e+00        1.032457e-77
CH2CHO                        0.000000e+00        2.154763e-99
CH3CHO                        0.000000e+00        5.501324e-95
--------------------------------------------------------------

-----------------------------------------------------------------------------
Mole fractions                Inlet               Outlet
-----------------------------------------------------------------------------
H2                            0.000000e+00        7.199735e-55
H                             0.000000e+00        2.067693e-48
O                             0.000000e+00        2.304499e-57
O2                            1.900450e-01        1.900450e-01
OH                            0.000000e+00        1.611354e-53
H2O                           0.000000e+00        3.047567e-55
HO2                           0.000000e+00        5.816505e-40
H2O2                          0.000000e+00        1.094388e-48
C                             0.000000e+00        1.737620e-75
CH                            0.000000e+00        8.327353e-94
CH2                           0.000000e+00        4.674804e-61
CH2(S)                        0.000000e+00        2.401588e-62
CH3                           0.000000e+00        5.816505e-40
CH4                           9.502300e-02        9.502300e-02
CO                            0.000000e+00        8.873282e-60
CO2                           0.000000e+00        1.690322e-60
HCO                           0.000000e+00        1.688118e-81
CH2O                          0.000000e+00        1.641343e-53
CH2OH                         0.000000e+00        6.142626e-87
CH3O                          0.000000e+00        9.854947e-60
CH3OH                         0.000000e+00        2.011313e-67
C2H                           0.000000e+00        9.325105e-121
C2H2                          0.000000e+00        1.926733e-74
C2H3                          0.000000e+00        1.118166e-100
C2H4                          0.000000e+00        1.821132e-58
C2H5                          0.000000e+00        1.869019e-56
C2H6                          0.000000e+00        2.193053e-48
HCCO                          0.000000e+00        2.360641e-117
CH2CO                         0.000000e+00        1.140833e-116
HCCOH                         0.000000e+00        1.098790e-125
N                             0.000000e+00        2.649480e-105
NH                            0.000000e+00        2.553160e-97
NH2                           0.000000e+00        1.067886e-139
NH3                           0.000000e+00        7.311097e-165
NNH                           0.000000e+00        2.259071e-58
NO                            0.000000e+00        2.322175e-97
NO2                           0.000000e+00        1.194809e-127
N2O                           0.000000e+00        4.040836e-66
HNO                           0.000000e+00        1.714096e-102
CN                            0.000000e+00        8.592709e-109
HCN                           0.000000e+00        2.494743e-107
H2CN                          0.000000e+00        1.347634e-115
HCNN                          0.000000e+00        3.664667e-94
HCNO                          0.000000e+00        0.000000e+00
HOCN                          0.000000e+00        8.278870e-159
HNCO                          0.000000e+00        3.229241e-138
NCO                           0.000000e+00        8.520840e-107
N2                            7.149320e-01        7.149320e-01
AR                            0.000000e+00        0.000000e+00
C3H7                          0.000000e+00        1.078426e-66
C3H8                          0.000000e+00        6.469947e-78
CH2CHO                        0.000000e+00        1.383294e-99
CH3CHO                        0.000000e+00        3.450877e-95
-----------------------------------------------------------------------------
